id_reclamo,cliente,producto_servicio,descripcion_reclamo,fecha_reclamo,estado_reclamo,responsable,respuesta,fecha_respuesta,nivel_satisfaccion,nivel_satisfaccion_mapeada
RCL0001,María Rodríguez,Shampoo,Vino abierto o sin sello,2025-03-22,Pendiente,Mateo Quintero,Contactamos al cliente para solución,2025-03-25,Muy insatisfecho,1
RCL0002,Santiago Ruiz,Cepillo de baño,El producto llegó en mal estado,2025-04-04,Pendiente,Ana Sánchez,El caso fue cerrado por falta de respuesta,2025-04-06,Insatisfecho,2
RCL0003,Valentina Mendoza,Cepillo de baño,Vino abierto o sin sello,2025-02-10,Resuelto,Manuela Pineda,Contactamos al cliente para solución,2025-02-20,Insatisfecho,2
RCL0004,María Rodríguez,Suavizante,Tuvo un olor desagradable,2025-04-29,Cerrado,Lucía Peña,Estamos gestionando una compensación,2025-05-07,Neutral,3
RCL0005,Andrés Gómez,Toallas húmedas,El producto llegó en mal estado,2025-04-12,Cerrado,Mateo Quintero,El producto será recogido para revisión,2025-04-15,Insatisfecho,2
RCL0006,Paola Castro,Cepillo de baño,No corresponde con la descripción,2025-03-17,Pendiente,Lucía Peña,Solicitamos más información al cliente,2025-03-20,Neutral,3
RCL0007,Andrés Gómez,Papel higiénico,El empaque llegó roto,2025-04-17,En proceso,Ana Sánchez,Hemos enviado un reemplazo sin costo,2025-04-25,Muy satisfecho,5
RCL0008,Fernando Rojas,Papel higiénico,Tuvo un olor desagradable,2025-03-15,Resuelto,Ana Sánchez,El reclamo fue escalado al área de calidad,2025-03-22,Muy satisfecho,5
RCL0009,Carlos López,Detergente líquido,No corresponde con la descripción,2025-02-11,En proceso,Manuela Pineda,El caso fue cerrado por falta de respuesta,2025-02-15,Satisfecho,4
RCL0010,María Rodríguez,Cloro,La presentación no es la adecuada,2025-03-30,Pendiente,Lucía Peña,Solicitamos más información al cliente,2025-04-05,Satisfecho,4
RCL0011,Paola Castro,Detergente líquido,Presentó fugas al primer uso,2025-04-02,Cerrado,Daniel Ortega,El caso fue cerrado por falta de respuesta,2025-04-11,Neutral,3
RCL0012,Santiago Ruiz,Detergente líquido,No hace el efecto esperado,2025-04-05,En proceso,Manuela Pineda,El producto será recogido para revisión,2025-04-11,Insatisfecho,2
RCL0013,Carlos López,Desinfectante,La presentación no es la adecuada,2025-03-28,Resuelto,Manuela Pineda,El caso fue cerrado por falta de respuesta,2025-03-30,Neutral,3
RCL0014,Andrés Gómez,Detergente líquido,Vino abierto o sin sello,2025-04-13,Resuelto,Pedro Romero,Estamos revisando con el proveedor,2025-04-19,Satisfecho,4
RCL0015,Alejandro Vargas,Detergente líquido,No funcionó correctamente,2025-03-14,Resuelto,Daniel Ortega,Hemos enviado un reemplazo sin costo,2025-03-18,Neutral,3
RCL0016,Valentina Mendoza,Suavizante,No hace el efecto esperado,2025-04-19,Cerrado,Lucía Peña,Solicitamos más información al cliente,2025-04-28,Neutral,3
RCL0017,Andrés Gómez,Cloro,No hace el efecto esperado,2025-02-18,Cerrado,Mateo Quintero,El caso fue cerrado por falta de respuesta,2025-02-26,Neutral,3
RCL0018,María Rodríguez,Toallas húmedas,Vino abierto o sin sello,2025-03-26,En proceso,Sebastián Cárdenas,Contactamos al cliente para solución,2025-04-05,Neutral,3
RCL0019,Natalia Jiménez,Limpiavidrios,No corresponde con la descripción,2025-04-02,En proceso,Pedro Romero,Estamos revisando con el proveedor,2025-04-12,Muy insatisfecho,1
RCL0020,Carlos López,Detergente líquido,Tuvo un olor desagradable,2025-04-23,Cerrado,Mateo Quintero,Procedimos con el reembolso completo,2025-05-02,Neutral,3
RCL0021,Alejandro Vargas,Limpiavidrios,No cumplió con mis expectativas,2025-04-12,Pendiente,Lucía Peña,Procedimos con el reembolso completo,2025-04-16,Satisfecho,4
